Left,Right,Operation,Object
r,>,INS,s
ar,>,INS,ais
r,>,INS,ai
ar,>,INS,ai
rebaxar,>,INS,a
ar,>,INS,a
<rebaxar,>,INS,a
ar,>,INS,i
ar,>,INS,s
mexar,>,INS,s
exar,>,INS,á
r,>,INS,i
r,>,INS,á
ar,>,INS,á
xar,>,INS,s
xar,>,INS,i
ar,>,INS,i
ar,>,INS,ái
ar,>,INS,s
exar,>,INS,i
ar,>,INS,áis
r,>,INS,áis
xar,>,INS,ái
<mexar,>,INS,s
exar,>,INS,s
r,>,INS,s
r,>,INS,ái
xar,>,INS,á
tar,>,INS,ó
ar,>,INS,ó
r,>,INS,ó
idir,>,INS,s
r,>,INS,ti
r,>,INS,e
ir,>,INS,e
<decidir,>,INS,i
decidir,>,INS,i
dir,>,INS,es
decidir,>,INS,e
ecidir,>,INS,i
ir,>,INS,ti
ir,>,INS,esti
r,>,INS,sti
ir,>,INS,es
dir,>,INS,s
ir,>,INS,i
<decidir,>,INS,e
r,>,INS,es
ir,>,INS,s
r,>,INS,esti
dir,>,INS,e
cidir,>,INS,i
dir,>,INS,i
cidir,>,INS,e
cidir,>,INS,s
ecidir,>,INS,e
ecidir,>,INS,s
idir,>,INS,e
r,>,INS,i
decidir,>,INS,s
r,>,INS,s
idir,>,INS,i
<decidir,>,INS,s
ir,>,INS,sti
sar,>,INS,en
eposar,>,INS,n
ar,>,INS,e
<reposar,>,INS,n
osar,>,INS,e
reposar,>,INS,e
sar,>,INS,e
posar,>,INS,e
osar,>,INS,en
r,>,INS,en
ar,>,INS,en
reposar,>,INS,n
sar,>,INS,n
eposar,>,INS,e
ar,>,INS,n
<reposar,>,INS,e
r,>,INS,e
osar,>,INS,n
posar,>,INS,n
r,>,INS,n
riar,>,INS,n
iar,>,INS,e
r,>,INS,ben
ar,>,INS,en
r,>,INS,en
iar,>,INS,ben
iar,>,INS,n
ar,>,INS,n
riar,>,INS,e
ar,>,INS,ben
iar,>,INS,en
r,>,INS,n
ar,>,INS,e
r,>,INS,e
diar,>,INS,es
iar,>,INS,e
diar,>,INS,e
<asediar,>,INS,s
ar,>,INS,e
<asediar,>,INS,e
diar,>,INS,s
iar,>,INS,es
asediar,>,INS,e
r,>,INS,s
r,>,INS,es
sediar,>,INS,e
ediar,>,INS,es
ar,>,INS,s
asediar,>,INS,s
r,>,INS,e
ediar,>,INS,s
sediar,>,INS,s
ediar,>,INS,e
ar,>,INS,es
iar,>,INS,s
r,>,INS,mos
soñar,>,INS,s
ñar,>,INS,o
ar,>,INS,e
ar,>,INS,mos
r,>,INS,o
r,>,INS,á
r,>,INS,emos
r,>,INS,s
ar,>,INS,o
ñar,>,INS,áremos
r,>,INS,os
oñar,>,INS,mos
ar,>,INS,áremos
ñar,>,INS,mos
ar,>,INS,emos
ñar,>,INS,á
r,>,INS,e
r,>,INS,remos
oñar,>,INS,os
ñar,>,INS,emos
oñar,>,INS,s
r,>,INS,áremos
<soñar,>,INS,s
oñar,>,INS,á
ñar,>,INS,remos
oñar,>,INS,o
ar,>,INS,os
ñar,>,INS,s
ar,>,INS,á
ar,>,INS,remos
oñar,>,INS,e
ñar,>,INS,os
ñar,>,INS,e
ar,>,INS,s
r,>,INS,o
ar,>,INS,on
<lliberar,>,INS,o
berar,>,INS,o
ar,>,INS,n
ar,>,INS,o
rar,>,INS,o
rar,>,INS,n
lliberar,>,INS,o
rar,>,INS,on
iberar,>,INS,o
berar,>,INS,n
r,>,INS,n
r,>,INS,on
liberar,>,INS,o
erar,>,INS,n
erar,>,INS,o
xir,>,INS,s
xir,>,INS,mos
ir,>,INS,amos
sixir,>,INS,o
r,>,INS,éramos
xir,>,INS,o
<esixir,>,INS,a
ir,>,INS,s
r,>,INS,a
<esixir,>,INS,o
sixir,>,INS,s
xir,>,INS,a
sixir,>,INS,os
r,>,INS,amos
esixir,>,INS,os
ixir,>,INS,o
r,>,INS,é
r,>,INS,os
ixir,>,INS,os
r,>,INS,s
<esixir,>,INS,mos
ir,>,INS,é
<esixir,>,INS,s
ir,>,INS,éramos
esixir,>,INS,o
ir,>,INS,o
esixir,>,INS,s
r,>,INS,mos
sixir,>,INS,a
xir,>,INS,os
sixir,>,INS,mos
r,>,INS,o
esixir,>,INS,a
ixir,>,INS,s
ir,>,INS,a
<esixir,>,INS,os
ixir,>,INS,mos
ir,>,INS,ramos
ixir,>,INS,a
esixir,>,INS,mos
r,>,INS,ramos
ir,>,INS,mos
ir,>,INS,os
ar,>,INS,en
itar,>,INS,en
<evitar,>,INS,e
vitar,>,INS,n
tar,>,INS,en
ar,>,INS,n
itar,>,INS,n
r,>,INS,e
r,>,INS,n
vitar,>,INS,e
itar,>,INS,e
r,>,INS,en
ar,>,INS,e
evitar,>,INS,e
tar,>,INS,n
tar,>,INS,e
zarrar,>,INS,s
ar,>,INS,s
r,>,INS,i
ar,>,INS,ai
r,>,INS,ai
ar,>,INS,ais
rar,>,INS,a
r,>,INS,s
arrar,>,INS,s
rrar,>,INS,a
r,>,INS,ais
rrar,>,INS,s
arrar,>,INS,a
<zarrar,>,INS,s
r,>,INS,a
rar,>,INS,s
ar,>,INS,a
rar,>,INS,ais
rrar,>,INS,i
rar,>,INS,i
arrar,>,INS,i
rar,>,INS,ai
ar,>,INS,i
ar,>,INS,n
ecordar,>,INS,e
rdar,>,INS,n
dar,>,INS,n
ordar,>,INS,e
rdar,>,INS,e
dar,>,INS,e
recordar,>,INS,e
r,>,INS,en
r,>,INS,ben
ar,>,INS,en
r,>,INS,n
<recordar,>,INS,e
ar,>,INS,e
dar,>,INS,en
r,>,INS,e
cordar,>,INS,e
ar,>,INS,ben
dar,>,INS,ben
r,>,INS,é
izar,>,INS,é
ar,>,INS,é
zar,>,INS,é
er,>,INS,an
recoyer,>,INS,a
yer,>,INS,a
coyer,>,INS,n
ecoyer,>,INS,a
oyer,>,INS,a
<recoyer,>,INS,a
r,>,INS,a
yer,>,INS,an
er,>,INS,n
r,>,INS,n
oyer,>,INS,n
er,>,INS,a
r,>,INS,an
yer,>,INS,n
coyer,>,INS,a
<poner,>,INS,e
r,>,INS,ues
er,>,INS,o
oner,>,INS,o
<poner,>,INS,s
er,>,INS,pue
<poner,>,INS,o
er,>,INS,s
r,>,INS,es
r,>,INS,ue
ner,>,INS,s
poner,>,INS,es
r,>,INS,pue
oner,>,INS,s
er,>,INS,es
<poner,>,INS,es
poner,>,INS,e
ner,>,INS,es
er,>,INS,e
ner,>,INS,e
er,>,INS,ue
r,>,INS,e
poner,>,INS,o
ner,>,INS,o
oner,>,INS,es
r,>,INS,o
oner,>,INS,e
r,>,INS,s
poner,>,INS,s
matar,>,INS,e
<matar,>,INS,i
tar,>,INS,eis
r,>,INS,íeis
tar,>,INS,í
<matar,>,INS,e
atar,>,INS,í
ar,>,INS,e
atar,>,INS,e
ar,>,INS,íeis
tar,>,INS,i
r,>,INS,eis
r,>,INS,i
matar,>,INS,i
tar,>,INS,s
r,>,INS,s
matar,>,INS,s
ar,>,INS,eis
ar,>,INS,í
r,>,INS,e
tar,>,INS,e
r,>,INS,í
tar,>,INS,íeis
ar,>,INS,i
atar,>,INS,i
atar,>,INS,eis
<matar,>,INS,s
ar,>,INS,s
atar,>,INS,s
ar,>,INS,e
r,>,INS,bes
tar,>,INS,es
eptar,>,INS,s
ptar,>,INS,s
tar,>,INS,bes
tar,>,INS,s
ptar,>,INS,e
eptar,>,INS,e
<aceptar,>,INS,e
r,>,INS,s
r,>,INS,e
tar,>,INS,e
ceptar,>,INS,s
ar,>,INS,es
aceptar,>,INS,e
r,>,INS,es
ar,>,INS,bes
ar,>,INS,s
<aceptar,>,INS,s
aceptar,>,INS,s
ceptar,>,INS,e
r,>,INS,ó
ar,>,INS,ó
r,>,INS,éis
<xurar,>,INS,s
ar,>,INS,s
ar,>,INS,é
r,>,INS,i
xurar,>,INS,s
rar,>,INS,é
r,>,INS,s
ar,>,INS,éis
rar,>,INS,éi
r,>,INS,é
rar,>,INS,éis
urar,>,INS,i
rar,>,INS,s
ar,>,INS,éi
r,>,INS,éi
urar,>,INS,é
urar,>,INS,s
rar,>,INS,i
ar,>,INS,i
stianizar,>,INS,n
ianizar,>,INS,e
r,>,INS,e
zar,>,INS,e
ristianizar,>,INS,n
stianizar,>,INS,e
ar,>,INS,e
cristianizar,>,INS,e
ar,>,INS,en
<cristianizar,>,INS,n
ar,>,INS,n
cristianizar,>,INS,n
nizar,>,INS,e
<cristianizar,>,INS,e
r,>,INS,n
zar,>,INS,n
r,>,INS,en
zar,>,INS,en
tianizar,>,INS,e
istianizar,>,INS,e
izar,>,INS,en
ianizar,>,INS,n
anizar,>,INS,n
izar,>,INS,e
anizar,>,INS,e
tianizar,>,INS,n
istianizar,>,INS,n
ristianizar,>,INS,e
izar,>,INS,n
nizar,>,INS,n
ar,>,INS,s
r,>,INS,s
car,>,INS,s
locar,>,INS,s
ocar,>,INS,s
ar,>,INS,as
r,>,INS,as
colocar,>,INS,s
ocar,>,INS,a
<colocar,>,INS,s
r,>,INS,a
ar,>,INS,a
car,>,INS,a
car,>,INS,as
olocar,>,INS,s
<ayudar,>,INS,s
ar,>,INS,á
udar,>,INS,s
r,>,INS,s
r,>,INS,á
r,>,INS,ás
<ayudar,>,INS,á
dar,>,INS,ás
ar,>,INS,ás
ayudar,>,INS,s
yudar,>,INS,s
yudar,>,INS,á
ayudar,>,INS,á
udar,>,INS,á
dar,>,INS,á
ar,>,INS,s
dar,>,INS,s
iar,>,INS,n
opiar,>,INS,n
piar,>,INS,e
iar,>,INS,en
stropiar,>,INS,n
opiar,>,INS,e
r,>,INS,e
ar,>,INS,n
estropiar,>,INS,e
<estropiar,>,INS,e
stropiar,>,INS,e
ar,>,INS,e
piar,>,INS,en
ar,>,INS,en
ropiar,>,INS,e
tropiar,>,INS,n
<estropiar,>,INS,n
estropiar,>,INS,n
iar,>,INS,e
r,>,INS,n
opiar,>,INS,en
r,>,INS,en
piar,>,INS,n
tropiar,>,INS,e
ropiar,>,INS,n
gar,>,INS,e
egar,>,INS,e
r,>,INS,e
ar,>,INS,íen
gar,>,INS,n
ar,>,INS,e
ar,>,INS,n
gar,>,INS,íen
r,>,INS,íen
ar,>,INS,en
egar,>,INS,en
r,>,INS,en
egar,>,INS,n
cegar,>,INS,e
ar,>,INS,í
<cegar,>,INS,e
egar,>,INS,í
r,>,INS,n
gar,>,INS,í
r,>,INS,í
gar,>,INS,en
er,>,INS,e
ber,>,INS,e
r,>,INS,e
llamber,>,INS,e
mber,>,INS,e
amber,>,INS,e
lamber,>,INS,e
<llamber,>,INS,e
ugar,>,INS,ue
r,>,INS,es
gar,>,INS,ue
onxugar,>,INS,s
r,>,INS,tis
gar,>,INS,stis
ugar,>,INS,sti
gar,>,INS,estis
ar,>,INS,ues
conxugar,>,INS,s
ar,>,INS,ti
onxugar,>,INS,e
<conxugar,>,INS,e
xugar,>,INS,ue
r,>,INS,uestis
ar,>,INS,uesti
gar,>,INS,es
gar,>,INS,uestis
<conxugar,>,INS,i
gar,>,INS,s
r,>,INS,stis
conxugar,>,INS,i
gar,>,INS,e
r,>,INS,ti
gar,>,INS,ues
ar,>,INS,uestis
r,>,INS,i
xugar,>,INS,s
ugar,>,INS,ues
r,>,INS,e
ar,>,INS,tis
ugar,>,INS,i
conxugar,>,INS,e
ar,>,INS,i
ar,>,INS,esti
ar,>,INS,stis
gar,>,INS,uesti
ar,>,INS,s
gar,>,INS,tis
ugar,>,INS,ti
r,>,INS,estis
nxugar,>,INS,s
r,>,INS,uesti
r,>,INS,sti
nxugar,>,INS,i
xugar,>,INS,es
r,>,INS,esti
xugar,>,INS,i
ar,>,INS,es
ar,>,INS,sti
ar,>,INS,ue
ugar,>,INS,s
gar,>,INS,i
ugar,>,INS,e
xugar,>,INS,e
ar,>,INS,e
r,>,INS,ue
gar,>,INS,sti
nxugar,>,INS,e
onxugar,>,INS,i
ar,>,INS,estis
gar,>,INS,esti
r,>,INS,s
gar,>,INS,ti
r,>,INS,ues
<conxugar,>,INS,s
ugar,>,INS,es
ar,>,INS,s
<algamar,>,INS,e
r,>,INS,e
algamar,>,INS,e
gamar,>,INS,s
r,>,INS,s
mar,>,INS,e
amar,>,INS,e
lgamar,>,INS,e
ar,>,INS,e
algamar,>,INS,s
r,>,INS,es
<algamar,>,INS,s
gamar,>,INS,e
mar,>,INS,s
amar,>,INS,s
ar,>,INS,es
mar,>,INS,es
amar,>,INS,es
lgamar,>,INS,s
ar,>,INS,es
sultar,>,INS,e
ar,>,INS,s
tar,>,INS,bes
ltar,>,INS,e
ltar,>,INS,es
insultar,>,INS,e
ar,>,INS,e
r,>,INS,bes
<insultar,>,INS,s
ultar,>,INS,s
tar,>,INS,es
r,>,INS,e
tar,>,INS,s
ltar,>,INS,s
ar,>,INS,bes
tar,>,INS,e
sultar,>,INS,s
r,>,INS,s
nsultar,>,INS,s
r,>,INS,es
insultar,>,INS,s
<insultar,>,INS,e
nsultar,>,INS,e
ultar,>,INS,e
podar,>,INS,e
dar,>,INS,e
r,>,INS,e
r,>,INS,íen
dar,>,INS,en
dar,>,INS,n
ar,>,INS,e
ar,>,INS,en
ar,>,INS,íen
dar,>,INS,í
r,>,INS,n
r,>,INS,en
ar,>,INS,n
r,>,INS,í
odar,>,INS,e
<podar,>,INS,e
ar,>,INS,í
dar,>,INS,íen
itar,>,INS,s
amitar,>,INS,a
<dinamitar,>,INS,s
ar,>,INS,s
itar,>,INS,a
tar,>,INS,a
mitar,>,INS,s
r,>,INS,s
r,>,INS,as
namitar,>,INS,s
ar,>,INS,as
inamitar,>,INS,a
dinamitar,>,INS,a
namitar,>,INS,a
r,>,INS,a
tar,>,INS,s
dinamitar,>,INS,s
ar,>,INS,a
amitar,>,INS,s
<dinamitar,>,INS,a
tar,>,INS,as
inamitar,>,INS,s
mitar,>,INS,a
antar,>,INS,a
lantar,>,INS,a
r,>,INS,a
tar,>,INS,a
ntar,>,INS,a
ar,>,INS,a
ar,>,INS,sti
<formar,>,INS,s
r,>,INS,esti
mar,>,INS,es
rmar,>,INS,e
ar,>,INS,estis
rmar,>,INS,es
ar,>,INS,tis
ar,>,INS,i
r,>,INS,estis
r,>,INS,e
formar,>,INS,i
ormar,>,INS,es
mar,>,INS,stis
ar,>,INS,esti
rmar,>,INS,s
ar,>,INS,stis
formar,>,INS,s
mar,>,INS,e
r,>,INS,es
ar,>,INS,es
ormar,>,INS,s
mar,>,INS,sti
ar,>,INS,e
ormar,>,INS,i
ar,>,INS,ti
formar,>,INS,es
r,>,INS,i
formar,>,INS,e
mar,>,INS,s
r,>,INS,s
<formar,>,INS,e
rmar,>,INS,i
mar,>,INS,esti
r,>,INS,stis
ar,>,INS,s
mar,>,INS,i
r,>,INS,ti
mar,>,INS,tis
mar,>,INS,ti
<formar,>,INS,i
mar,>,INS,estis
r,>,INS,sti
ormar,>,INS,e
r,>,INS,tis
ar,>,INS,íen
ucar,>,INS,en
car,>,INS,n
r,>,INS,e
ar,>,INS,n
r,>,INS,íen
fartucar,>,INS,n
car,>,INS,í
tucar,>,INS,e
rtucar,>,INS,e
<fartucar,>,INS,e
ar,>,INS,e
car,>,INS,e
ar,>,INS,en
artucar,>,INS,n
ar,>,INS,í
r,>,INS,n
artucar,>,INS,e
ucar,>,INS,n
r,>,INS,en
ucar,>,INS,e
r,>,INS,í
rtucar,>,INS,n
<fartucar,>,INS,n
ucar,>,INS,í
tucar,>,INS,n
car,>,INS,íen
car,>,INS,en
fartucar,>,INS,e
<derivar,>,INS,e
rivar,>,INS,e
ivar,>,INS,e
erivar,>,INS,e
var,>,INS,e
ar,>,INS,e
derivar,>,INS,e
r,>,INS,e
tropellar,>,INS,os
ar,>,INS,e
r,>,INS,e
opellar,>,INS,o
opellar,>,INS,e
r,>,INS,o
tropellar,>,INS,o
ellar,>,INS,mos
opellar,>,INS,os
opellar,>,INS,mos
<atropellar,>,INS,os
ar,>,INS,o
llar,>,INS,emos
r,>,INS,s
ar,>,INS,emos
tropellar,>,INS,s
lar,>,INS,o
llar,>,INS,os
<atropellar,>,INS,mos
ar,>,INS,mos
pellar,>,INS,os
r,>,INS,emos
<atropellar,>,INS,s
r,>,INS,os
<atropellar,>,INS,o
llar,>,INS,s
llar,>,INS,mos
ar,>,INS,s
ropellar,>,INS,os
ellar,>,INS,os
pellar,>,INS,mos
pellar,>,INS,o
atropellar,>,INS,s
lar,>,INS,s
pellar,>,INS,e
ellar,>,INS,o
lar,>,INS,emos
llar,>,INS,o
ropellar,>,INS,e
ellar,>,INS,s
tropellar,>,INS,e
opellar,>,INS,s
ar,>,INS,os
pellar,>,INS,s
atropellar,>,INS,o
llar,>,INS,e
ropellar,>,INS,o
ropellar,>,INS,mos
lar,>,INS,mos
<atropellar,>,INS,e
atropellar,>,INS,mos
tropellar,>,INS,mos
lar,>,INS,e
ellar,>,INS,e
lar,>,INS,os
atropellar,>,INS,e
ellar,>,INS,emos
atropellar,>,INS,os
r,>,INS,mos
ropellar,>,INS,s
cionar,>,INS,s
ar,>,INS,s
onar,>,INS,s
ionar,>,INS,a
mocionar,>,INS,s
ocionar,>,INS,s
r,>,INS,s
r,>,INS,as
ar,>,INS,as
<emocionar,>,INS,s
nar,>,INS,as
emocionar,>,INS,s
onar,>,INS,a
ionar,>,INS,s
r,>,INS,a
ar,>,INS,a
cionar,>,INS,a
nar,>,INS,a
nar,>,INS,s
ar,>,INS,á
iar,>,INS,á
ediar,>,INS,á
r,>,INS,á
diar,>,INS,á
<descansar,>,INS,a
sar,>,INS,a
nsar,>,INS,a
ar,>,INS,a
scansar,>,INS,a
cansar,>,INS,a
ansar,>,INS,a
descansar,>,INS,a
r,>,INS,a
escansar,>,INS,a
ar,>,INS,stis
icionar,>,INS,s
ar,>,INS,ti
r,>,INS,ti
cionar,>,INS,i
r,>,INS,s
r,>,INS,sti
r,>,INS,i
nar,>,INS,s
coleicionar,>,INS,s
r,>,INS,tis
nar,>,INS,ti
leicionar,>,INS,s
nar,>,INS,stis
oleicionar,>,INS,s
nar,>,INS,i
ar,>,INS,s
nar,>,INS,tis
ar,>,INS,tis
nar,>,INS,sti
r,>,INS,stis
ar,>,INS,sti
<coleicionar,>,INS,s
onar,>,INS,s
cionar,>,INS,s
ionar,>,INS,s
eicionar,>,INS,s
ionar,>,INS,i
onar,>,INS,i
ar,>,INS,i
er,>,INS,i
der,>,INS,i
nder,>,INS,i
r,>,INS,i
llar,>,INS,é
r,>,INS,é
lar,>,INS,é
ar,>,INS,é
vidar,>,INS,o
idar,>,INS,o
nvidar,>,INS,o
r,>,INS,o
onvidar,>,INS,o
<convidar,>,INS,o
dar,>,INS,o
ar,>,INS,o
convidar,>,INS,o
r,>,INS,sti
ordenar,>,INS,s
r,>,INS,stis
ar,>,INS,sti
nar,>,INS,sti
ordenar,>,INS,i
enar,>,INS,i
denar,>,INS,i
nar,>,INS,i
rdenar,>,INS,i
nar,>,INS,stis
r,>,INS,s
nar,>,INS,s
r,>,INS,ti
ar,>,INS,ti
ar,>,INS,stis
enar,>,INS,s
ar,>,INS,tis
nar,>,INS,tis
<ordenar,>,INS,s
rdenar,>,INS,s
ar,>,INS,i
ar,>,INS,s
nar,>,INS,ti
denar,>,INS,s
r,>,INS,tis
r,>,INS,i
<ordenar,>,INS,i
rar,>,INS,á
erar,>,INS,mos
erar,>,INS,amos
rar,>,INS,s
erar,>,INS,ba
ar,>,INS,ábamos
r,>,INS,bamos
erar,>,INS,o
r,>,INS,s
erar,>,INS,a
ar,>,INS,s
perar,>,INS,s
<esperar,>,INS,á
rar,>,INS,mos
perar,>,INS,o
rar,>,INS,ba
r,>,INS,amos
rar,>,INS,os
r,>,INS,o
r,>,INS,os
perar,>,INS,a
esperar,>,INS,a
r,>,INS,ábamos
r,>,INS,á
r,>,INS,mos
r,>,INS,ba
ar,>,INS,bamos
<esperar,>,INS,o
<esperar,>,INS,s
esperar,>,INS,o
ar,>,INS,os
ar,>,INS,o
sperar,>,INS,á
sperar,>,INS,o
erar,>,INS,s
rar,>,INS,amos
esperar,>,INS,s
ar,>,INS,mos
rar,>,INS,o
sperar,>,INS,a
ar,>,INS,a
rar,>,INS,bamos
<esperar,>,INS,a
r,>,INS,a
erar,>,INS,os
esperar,>,INS,á
rar,>,INS,a
ar,>,INS,á
ar,>,INS,amos
perar,>,INS,á
ar,>,INS,ba
sperar,>,INS,s
erar,>,INS,á
rar,>,INS,ábamos
gar,>,INS,é
ar,>,INS,é
r,>,INS,é
ar,>,INS,ó
r,>,INS,ó
mar,>,INS,ó
yar,>,INS,s
ar,>,INS,s
ar,>,INS,sti
eyar,>,INS,ti
yar,>,INS,ti
güeyar,>,INS,i
üeyar,>,INS,i
eyar,>,INS,i
r,>,INS,ti
üeyar,>,INS,s
eyar,>,INS,s
r,>,INS,sti
<güeyar,>,INS,i
yar,>,INS,i
<güeyar,>,INS,s
r,>,INS,i
ar,>,INS,ti
r,>,INS,s
eyar,>,INS,sti
güeyar,>,INS,s
yar,>,INS,sti
ar,>,INS,i
er,>,INS,e
c,er>,INS,i
onocer,>,INS,e
c,e,INS,i
oc,er,INS,i
ocer,>,INS,e
cer,>,INS,e
oc,e,INS,i
nocer,>,INS,e
r,>,INS,e
conocer,>,INS,e
c,er,INS,i
<conocer,>,INS,e
oc,er>,INS,i
r,>,INS,es
er,>,INS,í
faer,>,INS,s
<faer,>,INS,s
<faer,>,INS,í
r,>,INS,í
aer,>,INS,es
<faer,>,INS,e
r,>,INS,íes
er,>,INS,es
faer,>,INS,e
aer,>,INS,í
aer,>,INS,s
aer,>,INS,e
faer,>,INS,í
er,>,INS,s
er,>,INS,íes
r,>,INS,e
r,>,INS,s
er,>,INS,e
tir,>,INS,í
omitir,>,INS,s
<omitir,>,INS,s
ir,>,INS,í
itir,>,INS,e
tir,>,INS,s
itir,>,INS,s
mitir,>,INS,e
ir,>,INS,e
mitir,>,INS,í
ir,>,INS,íeis
<omitir,>,INS,e
r,>,INS,i
r,>,INS,íeis
mitir,>,INS,s
r,>,INS,s
omitir,>,INS,í
tir,>,INS,e
r,>,INS,e
r,>,INS,í
itir,>,INS,í
ir,>,INS,s
<omitir,>,INS,í
ir,>,INS,i
tir,>,INS,i
omitir,>,INS,e
ir,>,INS,eis
r,>,INS,eis
ficar,>,INS,e
etrificar,>,INS,e
ar,>,INS,mos
icar,>,INS,emos
ar,>,INS,s
ificar,>,INS,os
ficar,>,INS,s
<petrificar,>,INS,o
ar,>,INS,ábemos
rificar,>,INS,os
trificar,>,INS,e
r,>,INS,os
r,>,INS,o
car,>,INS,os
icar,>,INS,s
r,>,INS,e
ficar,>,INS,emos
trificar,>,INS,s
rificar,>,INS,á
icar,>,INS,e
r,>,INS,ábemos
rificar,>,INS,mos
ar,>,INS,á
r,>,INS,mos
ificar,>,INS,s
rificar,>,INS,emos
<petrificar,>,INS,s
icar,>,INS,mos
car,>,INS,o
rificar,>,INS,e
trificar,>,INS,o
car,>,INS,ábemos
ificar,>,INS,á
r,>,INS,emos
icar,>,INS,os
icar,>,INS,o
r,>,INS,s
car,>,INS,e
car,>,INS,á
ar,>,INS,e
petrificar,>,INS,e
petrificar,>,INS,o
ar,>,INS,emos
ficar,>,INS,mos
etrificar,>,INS,s
ficar,>,INS,o
petrificar,>,INS,s
car,>,INS,s
rificar,>,INS,s
rificar,>,INS,o
ar,>,INS,o
ficar,>,INS,os
ficar,>,INS,á
ar,>,INS,os
ificar,>,INS,mos
car,>,INS,emos
ificar,>,INS,emos
etrificar,>,INS,o
icar,>,INS,á
<petrificar,>,INS,e
ificar,>,INS,o
car,>,INS,mos
ificar,>,INS,e
r,>,INS,á
adar,>,INS,s
r,>,INS,s
r,>,INS,os
dar,>,INS,o
dar,>,INS,os
adar,>,INS,o
ar,>,INS,o
r,>,INS,o
ñadar,>,INS,s
<ñadar,>,INS,s
ar,>,INS,s
dar,>,INS,s
adar,>,INS,os
ar,>,INS,os
ar,>,INS,e
ñiciar,>,INS,s
iciar,>,INS,s
iar,>,INS,mos
ciar,>,INS,os
ciar,>,INS,á
ciar,>,INS,mos
r,>,INS,emos
ciar,>,INS,emos
iar,>,INS,e
<ñiciar,>,INS,e
ar,>,INS,o
ar,>,INS,á
iciar,>,INS,os
iar,>,INS,s
ciar,>,INS,o
iar,>,INS,ábemos
iar,>,INS,emos
iciar,>,INS,emos
r,>,INS,mos
ar,>,INS,mos
iciar,>,INS,mos
iar,>,INS,o
iciar,>,INS,á
r,>,INS,ábemos
iar,>,INS,os
iciar,>,INS,e
ciar,>,INS,s
r,>,INS,o
r,>,INS,e
ar,>,INS,s
ñiciar,>,INS,e
ciar,>,INS,e
ar,>,INS,ábemos
ar,>,INS,os
r,>,INS,á
r,>,INS,s
ar,>,INS,emos
r,>,INS,os
ñiciar,>,INS,o
<ñiciar,>,INS,s
iar,>,INS,á
iciar,>,INS,o
baxar,>,INS,e
baxar,>,INS,i
r,>,INS,beis
baxar,>,INS,s
ar,>,INS,e
ar,>,INS,i
r,>,INS,eis
ar,>,INS,eis
ar,>,INS,beis
ar,>,INS,s
axar,>,INS,e
xar,>,INS,s
r,>,INS,i
<baxar,>,INS,s
r,>,INS,e
r,>,INS,s
xar,>,INS,eis
<baxar,>,INS,e
axar,>,INS,s
xar,>,INS,e
xar,>,INS,i
axar,>,INS,i
ar,>,INS,o
ar,>,INS,áremos
aciar,>,INS,s
iar,>,INS,áremos
iar,>,INS,o
vaciar,>,INS,e
ar,>,INS,mos
ar,>,INS,s
iar,>,INS,remos
iar,>,INS,os
ar,>,INS,remos
ar,>,INS,os
aciar,>,INS,e
r,>,INS,áremos
r,>,INS,s
ar,>,INS,á
ciar,>,INS,o
ciar,>,INS,mos
ciar,>,INS,os
<vaciar,>,INS,e
iar,>,INS,á
<vaciar,>,INS,s
ar,>,INS,e
iar,>,INS,e
r,>,INS,os
ciar,>,INS,á
r,>,INS,mos
iar,>,INS,emos
r,>,INS,o
iar,>,INS,s
ar,>,INS,emos
r,>,INS,remos
vaciar,>,INS,s
ciar,>,INS,s
ciar,>,INS,emos
iar,>,INS,mos
r,>,INS,e
ciar,>,INS,e
r,>,INS,á
r,>,INS,emos
er,>,INS,i
aer,>,INS,i
r,>,INS,i
<faer,>,INS,i
faer,>,INS,i
cionar,>,INS,s
ar,>,INS,s
r,>,INS,e
ionar,>,INS,s
eicionar,>,INS,s
r,>,INS,s
nar,>,INS,e
coleicionar,>,INS,e
onar,>,INS,s
cionar,>,INS,e
ar,>,INS,e
r,>,INS,es
leicionar,>,INS,s
coleicionar,>,INS,s
icionar,>,INS,s
ionar,>,INS,e
eicionar,>,INS,e
cionar,>,INS,es
onar,>,INS,es
nar,>,INS,es
oleicionar,>,INS,e
leicionar,>,INS,e
ar,>,INS,es
icionar,>,INS,e
ionar,>,INS,es
<coleicionar,>,INS,e
onar,>,INS,e
<coleicionar,>,INS,s
oleicionar,>,INS,s
nar,>,INS,s
r,>,INS,ba
ear,>,INS,a
desear,>,INS,a
r,>,INS,a
<desear,>,INS,a
ar,>,INS,a
sear,>,INS,a
esear,>,INS,a
ar,>,INS,ba
dar,>,INS,i
yudar,>,INS,s
<ayudar,>,INS,e
dar,>,INS,ti
ar,>,INS,ti
udar,>,INS,s
<ayudar,>,INS,i
ayudar,>,INS,e
dar,>,INS,esti
udar,>,INS,sti
ar,>,INS,i
ar,>,INS,estis
ar,>,INS,e
dar,>,INS,sti
ar,>,INS,stis
ar,>,INS,tis
ayudar,>,INS,i
r,>,INS,esti
r,>,INS,tis
dar,>,INS,es
dar,>,INS,tis
udar,>,INS,es
r,>,INS,ti
yudar,>,INS,e
dar,>,INS,estis
dar,>,INS,s
yudar,>,INS,i
<ayudar,>,INS,s
dar,>,INS,e
r,>,INS,e
